day_index,moving_samples,is_operational
1708,8640,True
1709,8640,True
1710,8640,True
1711,8640,True
1712,8640,True
1713,7151,True
1714,7995,True
1715,8640,True
1716,8640,True
1717,8640,True
1718,8640,True
1719,8640,True
1720,8640,True
1721,8640,True
1722,8640,True
1723,8640,True
1724,8640,True
1725,7626,True
1726,8640,True
1727,8640,True
1728,8640,True
1729,8640,True
1730,8640,True
1731,8640,True
1732,8640,True
1733,8640,True
1734,8640,True
1735,6491,True
1736,7311,True
1737,8639,True
1738,8640,True
1739,8640,True
1740,8640,True
1741,8640,True
1742,8640,True
1743,8640,True
1744,8640,True
1745,8640,True
1746,6043,True
1747,8640,True
1748,8640,True
1749,8640,True
1750,8640,True
1751,8640,True
1752,8640,True
1753,8640,True
1754,8640,True
1755,8640,True
1756,8539,True
1757,2575,True
1758,8640,True
1759,8640,True
1760,8640,True
1761,8640,True
1762,8640,True
1763,8640,True
1764,8640,True
1765,8640,True
1766,8640,True
1767,8273,True
1768,1112,True
1769,8640,True
1770,8640,True
1771,8640,True
1772,8640,True
1773,8640,True
1774,8640,True
1775,8640,True
1776,8640,True
1777,8640,True
1778,8158,True
1779,1226,True
1780,8640,True
1781,8640,True
1782,8640,True
1783,8640,True
1784,8640,True
1785,8640,True
1786,8640,True
1787,8640,True
1788,8640,True
1789,7993,True
1790,2293,True
1791,8640,True
1792,8640,True
1793,8640,True
1794,8636,True
1795,8640,True
1796,8640,True
1797,8640,True
1798,8640,True
1799,8640,True
1800,7858,True
1801,2521,True
1802,8640,True
1803,8640,True
1804,8640,True
1805,8640,True
1806,8640,True
1807,8640,True
1808,8640,True
1809,8640,True
1810,8640,True
1811,7682,True
1812,2920,True
1813,8640,True
1814,8640,True
1815,8640,True
1816,8640,True
1817,8640,True
1818,8640,True
1819,8640,True
1820,8640,True
1821,8640,True
1822,8045,True
1823,2876,True
1824,8640,True
1825,8640,True
1826,8640,True
1827,8639,True
1828,8640,True
1829,8640,True
1830,8640,True
1831,8640,True
1832,8640,True
1833,8120,True
1834,3987,True
1835,8640,True
1836,8640,True
1837,8640,True
1838,8640,True
1839,8640,True
1840,8640,True
1841,8640,True
1842,8640,True
1843,8640,True
1844,7985,True
1845,3385,True
1846,8640,True
1847,8640,True
1848,8640,True
1849,8640,True
1850,8640,True
1851,8640,True
1852,8640,True
1853,8640,True
1854,8640,True
1855,7693,True
1856,4655,True
1857,8640,True
1858,8640,True
1859,8640,True
1860,8640,True
1861,8640,True
1862,8640,True
1863,8640,True
1864,8640,True
