date,total_episode_count,total_fault_duration_sec,unique_error_codes,motion_event_count,track_event_count,active_flag,rolling_7d_episode_count,rolling_7d_fault_duration,episode_trend_slope_14d,risk_episodes,risk_duration,risk_trend,combined_risk,health_index_raw,health_index,risk_level,health_score,critical_streak,yA,yB,yC,yD,score_A,score_B,score_CD,pA,pB,pC,pD,load_score_used
2017-06-08,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-09,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-10,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-11,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-12,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-13,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-14,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-15,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-16,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-17,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-18,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-19,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-20,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-21,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-22,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-23,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-24,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-25,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
